Quadrant,education,month,N,initial_count,index,xy
HE-LC,PSE,2019-03-01,37842,34091,111.00290399225602,HE-LC PSE
HE-LC,PSE,2019-04-01,35103,34091,102.96852541726555,HE-LC PSE
HE-LC,PSE,2019-05-01,37292,34091,109.38957496113343,HE-LC PSE
HE-LC,PSE,2019-06-01,33222,34091,97.45094013082631,HE-LC PSE
HE-LC,PSE,2019-07-01,37504,34091,110.01143996949341,HE-LC PSE
HE-LC,PSE,2019-08-01,37620,34091,110.35170572878472,HE-LC PSE
HE-LC,PSE,2019-09-01,33159,34091,97.266140623625,HE-LC PSE
HE-LC,PSE,2019-10-01,39854,34091,116.90475492065356,HE-LC PSE
HE-LC,PSE,2019-11-01,36963,34091,108.42451086797102,HE-LC PSE
HE-LC,PSE,2019-12-01,24824,34091,72.81687248834004,HE-LC PSE
HE-LC,PSE,2020-01-01,32287,34091,94.70828077791793,HE-LC PSE
HE-LC,PSE,2020-02-01,27618,34091,81.01258396644275,HE-LC PSE
HE-LC,PSE,2020-03-01,22961,34091,67.35208706110117,HE-LC PSE
HE-LC,PSE,2020-04-01,13110,34091,38.45589745094013,HE-LC PSE
HE-LC,PSE,2020-05-01,17223,34091,50.52066527822593,HE-LC PSE
HE-LC,PSE,2020-06-01,21806,34091,63.96409609574375,HE-LC PSE
HE-LC,PSE,2020-07-01,24124,34091,70.76354463054764,HE-LC PSE
HE-LC,PSE,2020-08-01,23226,34091,68.12941832155114,HE-LC PSE
HE-LC,PSE,2020-09-01,25605,34091,75.1077997125341,HE-LC PSE
HE-LC,PSE,2020-10-01,26566,34091,77.92672552873192,HE-LC PSE
HE-LC,PSE,2020-11-01,25248,34091,74.06060250505999,HE-LC PSE
HE-LC,PSE,2020-12-01,23182,34091,68.00035199906134,HE-LC PSE
HE-LC,PSE,2021-01-01,28284,34091,82.96617875685665,HE-LC PSE
HE-LC,PSE,2021-02-01,27471,34091,80.58138511630636,HE-LC PSE
HE-LC,PSE,2021-03-01,32080,34091,94.10108239711361,HE-LC PSE
HE-LC,PSE,2021-04-01,28583,34091,83.8432430846851,HE-LC PSE
HE-LC,PSE,2021-05-01,29864,34091,87.60083306444515,HE-LC PSE
HE-LC,PSE,2021-06-01,33932,34091,99.53360124373002,HE-LC PSE
HE-LC,PSE,2021-07-01,32498,34091,95.32721246076677,HE-LC PSE
HE-LC,PSE,2021-08-01,31089,34091,91.19415681558183,HE-LC PSE
HE-LC,PSE,2021-09-01,32277,34091,94.67894752280661,HE-LC PSE
HE-LC,PSE,2021-10-01,35963,34091,105.49118535683905,HE-LC PSE
HE-LC,PSE,2021-11-01,36481,34091,107.0106479716054,HE-LC PSE
HE-LC,PSE,2021-12-01,31264,34091,91.70748878002992,HE-LC PSE
HE-LC,PSE,2022-01-01,38874,34091,114.03009591974423,HE-LC PSE
HE-LC,PSE,2022-02-01,37732,34091,110.6802381860315,HE-LC PSE
HE-LC,PSE,2022-03-01,43170,34091,126.63166231556716,HE-LC PSE
HE-LC,PSE,2022-04-01,44173,34091,129.57378780323253,HE-LC PSE
HE-LC,PSE,2022-05-01,45630,34091,133.8476430729518,HE-LC PSE
HE-LC,PSE,2022-06-01,47555,34091,139.49429468188086,HE-LC PSE
HE-LC,PSE,2022-07-01,42045,34091,123.33167111554368,HE-LC PSE
HE-LC,PSE,2022-08-01,39339,34091,115.39409228242059,HE-LC PSE
HE-LC,PSE,2022-09-01,38143,34091,111.88583497110673,HE-LC PSE
HE-LC,PSE,2022-10-01,37467,34091,109.90290692558153,HE-LC PSE
HE-LC,PSE,2022-11-01,38631,34091,113.31729782053914,HE-LC PSE
HE-LC,PSE,2022-12-01,30396,34091,89.16136223636737,HE-LC PSE
HE-LC,PSE,2023-01-01,38017,34091,111.51623595670412,HE-LC PSE
HE-LC,PSE,2023-02-01,35430,34091,103.9277228594057,HE-LC PSE
